id,token
1230,?_
486,gkd
206,stdin
1235,bigcount
572,year
750,fifty
147,wholeequal
1180,salary
381,nouw
112,score
1155,rab
662,intnn
1028,intnm
344,tel
414,ten
965,tem
898,longlongn
1308,vis
780,sheshi
301,#
396,$
516,printlist
373,printfffaveragenaveragen
982,(
1140,xubu
986,)
1382,30.625
272,*
806,+
571,-
1422,version
48,.
807,/
32,0
671,exam
799,stot
35,1
1267,10.5
72,2
132,3
33,4
298,nofibonaccinumber
429,size
1349,stop
104,5
271,guess
556,left
102,6
324,10.0
284,7
131,8
62,9
739,eleven
720,makesum
805,=
594,?
329,aftersorted
1225,aaa
1084,shiyi
903,hang
669,stopminus
1383,intnum
186,1000
949,turn
349,matrix
1346,ffffffff
123,result
929,daxie
384,after
61,_
28,a
785,aba
24,b
22,c
6,d
64,e
97,f
96,g
905,plandays
66,h
25,i
319,1010
23,j
338,thecountforfailedd
99,k
59,l
12,m
43,n
297,o
3,p
13,q
14,r
45,s
628,abs
75,t
114,u
361,workout
286,v
574,/**/
757,32.0
100,w
547,1001
41,x
101,y
60,z
1281,information
533,intarrayshift
1008,standard
15,taila
845,nine
941,november
209,stdout
634,pval
1007,isp
314,ack
168,intmaxtime
1205,good
632,isx
992,rea
519,compute
31,strlen
205,rec
989,tie
1195,canfddan
447,0.00005
1017,zuo
128,0.00001
971,structv
872,zuu
42,quicksort
453,cha
264,others
988,tis
225,add
311,area
686,ret
348,res
1059,posi
952,jiashi
1253,charlength
1344,rez
776,chk
1012,pay
371,check
393,cho
316,list
345,chr
1190,els
1352,adbdid
1029,printfmaxdmax
925,jiecheng
1240,structvin
586,bdis
326,30.0
1262,1.00
602,lens
603,lent
735,argv
729,ddcd
1428,noperfactnumber
1047,gra
408,intpart
467,end
20,lena
26,lenb
749,forty
753,eng
734,argc
1031,structp
833,ihangjlie
1149,structm
1221,ticket
1406,eightteen
683,structs
1396,lmini
523,pout
694,sheng
1201,message
1395,lminz
963,demax
1353,bdid
57,4.0
928,xiaoxie
1066,1.03
1124,toosmallgameover
89,eof
653,age
337,fenshu
232,arrayshift
529,namelen
621,pea
1027,ffiffiffi
92,number
709,exceeddticket
1334,(00)
354,tmp
1129,structstudentsn
145,judge
1178,peo
708,per
706,order
1169,jane
1257,period
1337,canfffmn
1427,ddcddcdd
1141,distant
343,birth
666,eps
722,whitebluered
56,dddd
262,intnnn
196,exit
737,system
1252,10_2.5
1296,400
315,even
1068,restriction
1415,gui
359,other
696,tong
1050,queen
1119,0.000001
455,ping
560,cmp
636,save
364,soclock
1161,valid
531,minprice
1117,tian
484,bubble
1156,tor
454,printdigits
768,cnd
796,tot
1128,countoffailed
1184,outcome
172,gameover
1271,monday
210,dataout
260,malloc
125,product
909,problemin
141,jiage
192,cnt
1137,dsds
251,2.0
895,666
308,10000
1170,decembeer
705,2.5
1371,10001
923,minlf
434,printfdai
888,com
967,col
378,con
1048,newhead
1259,50.0
184,cos
598,structstudent
1342,1.099999999
291,3.00
902,points
1381,structdiann
450,fprogrammingins
1164,function
880,integerpart
597,all
772,new
9,void
517,read
1321,alp
398,swap
1311,mjqqt
1071,constvoid
1118,3.14
1251,acos
550,ffff
1013,shifou
1162,%%%%%%%%%%
255,200
867,204
175,bingo
474,100.0
940,october
802,istri
1327,printflftmp
821,whilestridx
177,goodguess
697,structtong
610,0.001
1356,0.005
1423,structversionn
677,212
827,timet
798,//__
885,wronginput
589,bdri
1088,ffirst
1197,lcm
1275,friday
966,row
612,floor
779,shang
743,fifteen
490,999999
1256,timetu
1138,20000
140,ans
879,realnumber
445,maxsum
377,countprime
525,cry
4,any
1236,smallcount
137,minute
29,0.0
1070,0.1
1203,specialfor
296,0.4
36,0.5
878,fractionpart
668,unsigned
823,tidxstridx
822,tidx
346,rabbits
1220,exceedf
1361,printfdsyc
328,len
413,toeng
449,programmingins
1072,exi
716,recycle
487,danci
970,luanxu
1388,let
540,ctn
542,isdigit
537,element
788,exu
1022,structpro
1052,forintiiniforintjjnjprintfdtchessijprintf
1255,remain
584,bspe
887,structxl
999,springcount
230,comparelie
250,lfd
513,lff
1404,dayofyear
630,input
678,243
595,_+_
1157,244
1191,lldd
605,notabletoallocatememory
545,istrangle
1004,pnu
122,grade
266,letter
1317,pnt
331,lfs
353,powres
460,averagefmaxfminf
701,addminute
215,lflflflf
563,wucha
946,huiche
748,thirty
403,shanchu
541,isalpha
593,charmaxm
1206,structdestn
876,students
1172,structlink
838,two
134,default
691,endpoint
1073,found
604,pos
1358,dffff
71,pow
433,workmax
960,yesn
169,arr
501,intmax
506,awine
891,inttotal
1200,yesd
687,ary
1091,txl
1210,fsfs
1223,cnter
93,such
268,iiii
732,chark
332,charn
448,charmaxn
818,chart
208,datain
430,structnumberpoint
475,charmaxs
1284,marth
1139,shibu
672,tolower
904,lie
1041,intsum
679,273
1100,0.0000000000001
360,workin
1147,han
94,continue
684,hao
1107,liu
51,longlong
916,isprime
657,chesu
868,pre
357,jieguo
1049,chess
1226,last
1290,structtvn
1019,pro
1219,structvector
1288,fuhao
1408,50000
1291,structtv
111,name
379,structtx
1265,tentwo
167,shijian
8,next
227,bool
549,distance
1359,string
1183,aux
727,fenjie
162,book
1397,99999
874,impossible
388,noo
640,strcat
1148,nor
441,ave
667,negative
95,ddddd
725,now
1026,printfdddtshitfentmiao
385,doit
1384,chgetchar
1379,factor
1089,readline
834,printfdsum
207,freopen
587,race
217,lld
1151,wan
37,yes
482,panduan
406,xiao
544,start
763,war
347,newborn
129,way
781,ptr
322,equal
1279,ssch
639,lflflf
814,chang
505,bwine
1297,structlist
78,miao
1020,structprosum
135,time
277,fab
404,%[^]
1398,jie
356,isfull
510,guessb
216,fac
508,guessa
1227,1+2*10-10/2=
1322,structnum
832,longlongfac
839,three
299,strcpy
1357,numberpoint
575,/*0*/
146,istriangle
1211,jenuary
548,tempsum
1110,jiu
185,funcos
987,26.5
133,case
1224,helloworld
1332,identifier
194,item
910,problemout
710,exceeddlicenserevoked
530,maxprice
18,double
746,eighteen
692,slope
1270,sunday
1179,phone
1318,structpt
1293,longint
411,cishu
310,intmaxn
978,suma
1062,pleasegivenumbers
1324,//*_
1177,structfrin
635,lol
303,doublen
504,calcpow
1390,kilo
63,\0
39,low
944,zonghe
1299,conststructlist
380,structword
736,?+?=?
392,wei
637,dian
1347,yin
402,readlist
998,fenzhong
318,gotoback
440,structpoint
857,pxn
956,born
16,heada
242,reverse
618,wrong
325,13.0
1187,zhouchang
931,january
21,char
658,xiansu
1056,heads
1127,includemathh
959,small
962,demin
1024,wordsl
426,miid
110,num
831,replace
1014,kksk
79,fen
515,getodd
340,24.0
859,dat
500,zong
861,volid
573,day
860,splitfloat
50,strcmp
964,ffb
108,fff
1385,4294967296
362,gotoout
1131,elec
954,_*
1011,water
738,pause
1335,denominator
755,fclosestdout
835,printflffactn
2,structln
1389,sumk
569,flagb
570,flaga
758,9.0
1365,sumt
375,nnpyes
976,9.5
588,game
1285,addi
1006,part
391,insert
893,hmax
438,point
741,thirteen
939,september
744,sixteen
437,fsss
592,win
955,__
1075,qsort
1105,san
155,temp
828,amount
1354,intdamx
367,pcur
81,ddd
1343,0.00000001
1368,ddf
1348,exceedflicenserevoked
543,lldlld
30,gets
1053,huoxing
417,oclock
852,countdigit
554,build
275,cheng
558,shijih
397,fib
981,lastnum
382,numberofword
1204,bad
947,zifu
179,strmcpy
224,del
943,flflf
1112,bai
1039,fir
1036,rand
532,100000000
771,trip
1133,dev
261,record
435,putchar
405,zheng
1309,100000007
113,rank
1018,you
68,getchar
241,prime
784,ac
511,ad
564,goldbach
1044,af
1067,pass
289,mile
747,nineteen
918,noproblem
937,july
480,numberofwords
157,al
578,am
327,an
1134,xiangliang
1218,dfs
105,lflflflflflflflf
1212,at
424,mxid
458,av
234,ax
237,ay
1244,az
1323,dddddddd
948,gotoend
1109,ba
926,bb
54,average
1386,bc
383,compare
512,bd
812,sds
1045,bf
267,fushu
180,lflf
106,bi
858,deletem
428,bk
158,bl
579,bm
689,sumlength
1009,sea
714,sec
355,search
1213,bt
682,bu
212,miny
211,minx
1403,isleapyear
238,bx
233,by
1273,wednesday
535,uio
1208,factadd
596,cc
641,structgrade
1350,flf
765,set
1065,charge
608,mini
67,ch
472,ci
685,ming
864,tail
1115,gotorett
154,minf
1080,cj
368,words
465,column
804,0.00
182,0.01
1165,cl
1274,thursday
481,right
1079,co
1277,minq
650,minp
665,cp
933,march
1416,abce
170,maxtime
908,cs
846,yuan
951,qian
1214,ct
1166,cu
936,june
1319,answer
235,cx
236,cy
795,structnumber
335,setgrade
279,da
629,stingcount
1338,db
1261,dc
171,dd
617,gotowrong
1058,de
58,df
507,shoutb
1268,bef
509,shouta
871,dig
1329,dj
848,bei
514,fahrcelsius
1167,dm
892,dn
1229,jmax
422,dp
851,fgets
536,ds
1176,charconst
1215,dt
836,du
1392,?+?_=?
625,dx
489,0.05
1090,dy
1355,ddoddoddi
854,unsignedint
1413,structentry
288,32768
865,reply
1078,ec
263,digit
287,32767
418,^^^
1042,ed
583,adis
1040,linklist
1144,ef
339,thegrades
1113,test
825,ifstridxc
906,leftpages
19,count
913,2000
1328,dianji
1104,er
742,fourteen
283,month
80,shi
616,strstr
295,5.0
829,amountleftxyzn
849,fb
599,structstudentmax
1362,fd
188,ff
313,fg
410,shu
190,ldld
1087,fh
358,blank
1037,fi
1086,structfs
1320,fj
446,100000
896,yue
979,fn
1025,structwordsl
538,title
305,fs
341,structinformation
601,primt
924,random
1402,fx
994,fz
1069,rate
693,sim
91,alpha
152,averagef
1054,sin
270,dlf
1043,gf
883,gg
479,comparewords
557,gj
842,six
1410,lowercase
882,gm
394,length
498,false
643,go
914,strct
98,gs
302,fpx
494,print
695,hua
366,ssss
1207,structdest
34,gotoret
471,he
1143,minhao
243,hh
1263,structinfn
707,big
826,printfst
1146,hj
265,hk
1001,toosamll
565,printfn
143,0.53
240,primesum
1158,bir
1399,convert
276,output
1307,listelem
866,addone
109,sqrt
1010,0.49
840,four
1407,else
300,999
561,id
1046,text
1060,chengji
1314,9999999
900,dnf
160,ig
770,16_4.0
1228,canfsa
443,ii
1099,cosff
466,ij
869,init
432,in
444,thissum
198,lower
461,ip
156,index
1150,is
293,2.00
419,canfa
1130,it
1136,slf
468,odd
495,zimu
568,fclosestdin
1153,readbook
1295,januray
199,celsius
1283,computerarea
323,3.0
144,0.58
1325,10000000
200,invalid
791,sssss
1125,jd
567,freopenprobleminrstdin
1033,begin
401,structlistnode
442,jj
624,fibonacci
1154,infib
1145,jl
919,daan
1418,canfddnumberdigit
1217,js
496,sumav
342,structinformationn
469,mab
844,eight
930,toten
1424,structversion
1189,bla
754,freopenproblemoutwstdout
470,caozuo
942,december
810,structfriends
1135,lldlldlld
1378,splifloat
1234,delight
415,twenty
1083,mat
1132,26.500000
220,ko
935,may
27,max
73,break
1055,+1
1280,structas
488,change
1417,21252
1216,ks
850,shuzi
631,trigger
1242,okbut
1254,300
103,*_
614,la
615,lb
680,304
191,ld
107,lf
953,li
282,fun
372,return
477,ll
1038,ln
1339,lo
416,twentys
775,lp
555,ls
609,10000.0
83,delchar
202,sign
1035,dist
52,main
585,aspe
138,second
40,high
870,edge
407,split
1152,chigetchar
1231,+_
254,fine
726,sushu
700,addhour
862,find
252,limit
699,addsecond
423,mi
46,mm
606,1.0000
229,comparehang
728,months
151,-1
713,level
752,spa
317,oddsum
1412,occur
1370,mt
69,EMPTY_TOKEN
425,mx
620,sort
995,mz
65,stringcount
809,friends
321,memset
690,beginpoint
119,dsb
1411,entries
116,dsa
124,1.0
1064,listn
5,null
121,dsd
257,1.1
1002,structfri
120,dsc
590,adri
226,true
256,1.5
1302,header
478,maxlen
973,foriii
374,nn
1192,birthday
38,no
526,.0
306,code
431,boo
917,stair
890,0.0000000000000000000000000001
1298,dst
703,1000000
766,student
1032,dss
1292,best
1,head
231,total
136,hour
239,dddddd
280,deng
613,oc
681,334
1333,fxf
997,xiaoshi
166,keyi
491,digitsum
711,ok
1051,forintiiniforintjjnjprintfdtchessijprintfputs
485,//
244,op
582,/0
591,chance
1300,src
1023,9973
1000,fsecond
181,100
1425,pa
312,101
1081,tongji
1426,pb
1233,munlf
1159,ph
1005,makelist
1057,pi
974,pj
173,toosmall
390,pn
790,ddiddiddi
1391,po
1400,getsa
789,eshi
1366,pp
993,10.51
1173,pr
1376,ssc
1394,hmaxj
853,ps
945,structshun
1239,ssd
197,upper
77,delta
856,px
1269,nofb
365,sss
1393,hmaxz
1003,bri
1097,longlongintsnnskqnnqkforintiitisycsycsqikkanssyc
1108,qi
551,qk
1116,1.
1372,outdd
49,10
249,height
193,11
389,qq
203,12
183,13
1340,std
294,14
938,august
1063,15
457,16
975,4.25
774,old
889,17
654,18
1174,19
646,ycabssycksknnikk
674,120
762,0_
85,str
221,node
307,122
421,rd
462,123
873,nodd
223,re
600,stu
740,twelve
1405,seventeene
1186,mianji
201,20
958,21
1202,22
1304,suc
248,23
670,minus
782,sub
139,24
1276,saturday
126,fact
830,25
1199,charmax
273,26
1098,1.000001
127,1.000000
627,28
626,29
1085,factorial
1121,nummax
1419,chong
1034,mid
53,sum
950,jiaqian
189,long
761,1_
370,sb
520,gettheleftnumber
518,//0
553,sc
1367,qqq
1414,sd
87,min
651,keneng
1016,sf
894,lmin
1351,outling
759,si
320,sk
1061,intx
1114,lian
459,averagedmaxdmind
527,9999
723,vector
897,intdmax
17,free
90,konghui
274,30
499,sp
304,31
957,sq
1294,structmonth
148,32
813,sr
245,ss
664,33
767,st
204,35
792,su
309,fabs
652,ruguo
968,36
1373,middle
1312,37
278,intc
837,one
1101,nxifnabann
961,inti
352,intk
88,intn
730,tb
351,intm
1198,tc
420,td
811,structfriendsi
1326,tf
1409,buf
899,lfllflflf
717,narcissistic
452,ti
1363,structfriendsn
503,countd
400,bul
977,0.0001
483,?_+_?_=_?
1185,lflflflflflf
539,40
623,mani
1369,tp
149,ts
800,//_
655,44
980,tt
285,tu
764,gotoa
847,beishu
1182,45
1193,sddds
656,46
1289,tv
1286,47
502,swi
633,48
659,49
648,diushi
843,seven
1364,dest
675,151
412,zero
497,aalpha
663,zhong
142,50
387,up
645,printfldsyc
820,//{
1360,51
660,52
819,//}
841,five
581,53
661,55
47,2147483647
619,uw
817,57
1237,structstu
376,2147483648
247,59
522,reportinputerror
881,_______________________________
877,structstudents
927,qita
187,factsum
712,structstudentn
688,vl
985,sind
82,60
524,idx
644,syc
1077,64
130,coin
783,65
150,vv
777,66
1160,que
161,structbook
1282,decount
983,printa
534,69
984,printb
875,enterxx
797,ctrlz
1194,sym
259,revoke
921,averagelf
195,calloc
1074,wd
253,speed
7,printf
439,structpointn
1168,perfectnumber
118,70
611,drow
901,mmx
10,ws
1106,wu
1181,75
1387,ystempause
70,ord
1303,pushback
258,normal
1258,timegui
473,wide
292,10.00
884,fclose
1249,xa
676,181
1245,xb
1248,xc
521,gettherightnumber
1163,xd
1260,studentid
290,money
886,xl
718,printn
334,80
493,geshu
1331,81
1420,xr
996,xs
117,84
1421,xt
115,85
786,xu
1305,geteven
165,mark
580,86
1094,xx
803,xy
528,mod
824,tcharmalloc
1247,ya
1196,gcd
1246,yb
44,scanf
163,structbookn
1250,yc
816,type
281,mon
934,april
1015,yf
1330,structbooks
1103,yi
228,palindrome
972,printfsstri
164,price
333,90
1287,93
622,cont
463,97
350,99
704,islian
794,val
1096,yy
673,comp
751,oth
731,fibnum
1209,goal
76,structtime
815,kuan
702,lose
756,fahr
1310,bingol
159,zi
915,fail
719,books
801,30000001
745,seventeen
369,word
907,nowdays
86,flag
1301,structlistelem
773,newdata
1316,iii
246,dcdcd
218,out
647,intabsintnifnreturnnelsereturnn
1092,structtxln
1120,nummin
1126,assert
1122,get
576,leap
546,power
1082,thecountforfaileddthegrades
724,kongge
330,sbook
1341,remoke
451,unnamed
174,toobig
84,puts
1264,structinf
176,luckyyou
642,thecountforfaileddthegrade
222,data
386,constint
1102,perfect
562,xiang
1306,tailer
269,iiiiiiddi
1175,twentysoclock
409,fracpart
55,float
436,forintiini
1076,space
1095,cntxx
1241,aver
778,xia
559,vec
399,tag
492,ishuixing
214,maxy
213,maxx
1238,failed
395,ispoint
1401,printffa
1021,structpron
153,maxf
715,3600
336,person
607,maxi
769,maxn
1377,printfcscstr
74,dectobin
476,maxs
991,ima
1278,maxq
649,maxp
566,noperfectnumber
855,paixu
1232,=_
1315,week
1111,ling
363,mul
464,line
178,includestdioh
638,structdian
1171,link
793,cai
808,error
1243,noway
552,cal
1222,licenserevoked
1266,cao
577,/*1*/
1123,toobiggameover
1336,_=_?
219,countoff
1188,cap
1375,structchengjin
1345,imz
1142,printfdn
733,chartonum
1030,canfdn
1374,printfdp
427,inf
721,listnode
969,0_0
863,cost
1313,pdws
932,february
698,match
787,structfushu
456,longlongint
760,instead
911,inq
11,int
1093,cntyy
1380,factors
922,maxlf
1272,tuesday
912,1200
990,ssoclock
920,cifang
